Tmx Prolateness Oblateness Size tr Tb
20 1 1 190 9.99999999999999E+017 236
20 1 1 200 9.99999999999999E+017 250
20 1 1 210 9.99999999999999E+017 259
20 1 1 220 9.99999999999999E+017 268
20 1 1 230 9.99999999999999E+017 279
20 1 1 240 9.99999999999999E+017 283
25 1 1 40 0.00113246110195894 20
25 1 1 50 615.0693578999 27
25 1 1 60 249019599382.522 77
25 1 1 70 9.99999999999999E+017 117
25 1 1 80 9.99999999999999E+017 148
25 1 1 90 9.99999999999999E+017 174
25 1 1 100 9.99999999999999E+017 196
25 1 1 110 9.99999999999999E+017 226
25 1 1 120 9.99999999999999E+017 197
25 1 1 130 9.99999999999999E+017 167
25 1 1 140 113361404300745 67
25 1 1 150 1.62169511854418E+017 93
25 1 1 160 9.99999999999999E+017 148
25 1 1 170 9.99999999999999E+017 179
25 1 1 180 9.99999999999999E+017 200
25 1 1 190 9.99999999999999E+017 216
25 1 1 200 9.99999999999999E+017 229
25 1 1 210 9.99999999999999E+017 239
25 1 1 220 9.99999999999999E+017 251
25 1 1 230 9.99999999999999E+017 257
25 1 1 240 9.99999999999999E+017 264
30 1 1 40 0.000395542538702429 20
30 1 1 50 75.1976756991306 20
30 1 1 60 6553416429.6695 67
30 1 1 70 9.99999999999999E+017 104
30 1 1 80 9.99999999999999E+017 134
30 1 1 90 9.99999999999999E+017 158
30 1 1 100 9.99999999999999E+017 178
30 1 1 110 9.99999999999999E+017 196
30 1 1 120 9.99999999999999E+017 180
30 1 1 130 9.99999999999999E+017 190
30 1 1 140 9.99999999999999E+017 159
30 1 1 150 7.12135918191723E+017 72
30 1 1 160 9.99999999999999E+017 91
30 1 1 170 9.99999999999999E+017 143
30 1 1 180 9.99999999999999E+017 171
30 1 1 190 9.99999999999999E+017 190
30 1 1 200 9.99999999999999E+017 205
30 1 1 210 9.99999999999999E+017 216
30 1 1 220 9.99999999999999E+017 226
30 1 1 230 9.99999999999999E+017 234
30 1 1 240 9.99999999999999E+017 241
35 1 1 40 6.76153741913239E-05 20
35 1 1 50 2.54721573850846 20
35 1 1 60 18377631.0975481 52
35 1 1 70 6.11739985481717E+016 88
35 1 1 80 9.99999999999999E+017 116
35 1 1 90 9.99999999999999E+017 139
35 1 1 100 9.99999999999999E+017 159
35 1 1 110 9.99999999999999E+017 175
35 1 1 120 9.99999999999999E+017 184
35 1 1 130 9.99999999999999E+017 176
35 1 1 140 9.99999999999999E+017 182
35 1 1 150 9.99999999999999E+017 155
35 1 1 160 9.99999999999999E+017 80
35 1 1 170 9.99999999999999E+017 89
35 1 1 180 9.99999999999999E+017 131
35 1 1 190 9.99999999999999E+017 155
35 1 1 200 9.99999999999999E+017 175
35 1 1 210 9.99999999999999E+017 189
35 1 1 220 9.99999999999999E+017 200
35 1 1 230 9.99999999999999E+017 207
35 1 1 240 9.99999999999999E+017 217
40 1 1 40 5.52182527850973E-06 20
40 1 1 50 0.0191102118451099 20
40 1 1 60 3874.16247488444 31
40 1 1 70 91271926845.163 66
40 1 1 80 9.99999999999999E+017 94
40 1 1 90 9.99999999999999E+017 117
40 1 1 100 9.99999999999999E+017 136
40 1 1 110 9.99999999999999E+017 151
40 1 1 120 9.99999999999999E+017 164
40 1 1 130 9.99999999999999E+017 159
40 1 1 140 9.99999999999999E+017 163
40 1 1 150 9.99999999999999E+017 168
40 1 1 160 9.99999999999999E+017 148
40 1 1 170 9.99999999999999E+017 83
40 1 1 180 2850969359486.97 65
40 1 1 190 9.99999999999999E+017 110
40 1 1 200 9.99999999999999E+017 138
40 1 1 210 9.99999999999999E+017 156
40 1 1 220 9.99999999999999E+017 170
40 1 1 230 9.99999999999999E+017 179
40 1 1 240 9.99999999999999E+017 188
45 1 1 40 2.06638200894893E-07 20
45 1 1 50 3.116924674303E-05 20
45 1 1 60 0.0576753548520351 20
45 1 1 70 1890.64695689857 30
45 1 1 80 1980638795.59883 63
45 1 1 90 1.30976753385172E+017 88
45 1 1 100 9.99999999999999E+017 107
45 1 1 110 9.99999999999999E+017 123
45 1 1 120 9.99999999999999E+017 136
45 1 1 130 9.99999999999999E+017 147
45 1 1 140 9.99999999999999E+017 139
45 1 1 150 9.99999999999999E+017 145
45 1 1 160 9.99999999999999E+017 151
45 1 1 170 9.99999999999999E+017 136
45 1 1 180 9.99999999999999E+017 90
45 1 1 190 178712.803648961 35
45 1 1 200 9.99999999999999E+017 85
45 1 1 210 9.99999999999999E+017 113
45 1 1 220 9.99999999999999E+017 132
45 1 1 230 9.99999999999999E+017 144
45 1 1 240 9.99999999999999E+017 154
50 1 1 40 3.44052762448819E-09 25
50 1 1 50 0.000000001 20
50 1 1 60 6.65171739086858E-08 25
50 1 1 70 5.20292036410875E-07 25
50 1 1 80 1.88420344717727E-05 25
50 1 1 90 0.00129161960717156 25
50 1 1 100 0.229237505449806 25
50 1 1 110 124.556129417111 81
50 1 1 120 261121.663990579 98
